real,north,east,south,west,meas,diff
0,0.99,0.38,0.15,0.31,-4,-4
10,0.98,0.30,0.15,0.37,5,-5
20,0.95,0.26,0.15,0.42,11,-9
30,0.75,0.24,0.19,0.47,22,-8
40,0.76,0.20,0.21,0.51,30,-10
50,0.70,0.15,0.21,0.58,41,-9
60,0.53,0.15,0.25,0.61,59,-1
70,0.42,0.13,0.28,0.86,79,9
80,0.35,0.13,0.31,0.98,87,7
90,0.31,0.12,0.35,0.99,93,3
100,0.27,0.13,0.40,0.98,98,-2
110,0.24,0.14,0.48,0.95,106,-4
120,0.20,0.15,0.52,0.72,119,-1
130,0.17,0.16,0.62,0.72,129,-1
140,0.14,0.18,0.67,0.68,137,-3
150,0.12,0.21,0.71,0.56,149,-1
160,0.12,0.23,0.97,0.49,163,3
170,0.13,0.26,0.98,0.39,171,1
180,0.13,0.29,0.98,0.32,178,-2
190,0.13,0.33,0.98,0.23,183,-7
200,0.14,0.41,0.94,0.25,192,-8
210,0.16,0.50,0.71,0.21,208,-2
220,0.18,0.50,0.71,0.18,211,-9
230,0.21,0.58,0.57,0.15,230,0
240,0.23,0.61,0.51,0.14,239,-1
250,0.26,0.66,0.45,0.13,250,0
260,0.31,0.98,0.36,0.12,266,6
270,0.35,0.99,0.32,0.13,272,2
280,0.40,0.98,0.29,0.13,277,-3
290,0.45,0.96,0.25,0.15,284,-6
300,0.52,0.79,0.22,0.16,296,-4
310,0.58,0.76,0.19,0.18,304,-6
320,0.67,0.72,0.16,0.20,315,-5
330,0.69,0.61,0.15,0.22,324,-6
340,0.87,0.53,0.15,0.24,338,-2
350,0.98,0.44,0.14,0.27,348,-2